25/10/11	1550	1106	396	581	253	632	178	204
26/10/11	1436	965	334	587	219	581	211	231
27/10/11	1412	957	385	596	233	618	182	157
28/10/11	1234	929	320	498	235	522	147	150
29/10/11	783	519	159	309	83	298	95	75
30/10/11	605	386	171	229	62	217	62	38
31/10/11	1572	1172	435	636	269	648	175	221
01/11/11	1285	976	333	519	243	563	190	173
02/11/11	769	461	134	298	82	244	73	34
03/11/11	1621	1061	447	642	267	697	166	174
04/11/11	1337	986	361	541	188	584	158	139
05/11/11	819	476	178	329	102	333	122	62
06/11/11	503	371	160	302	85	225	54	36
07/11/11	1634	1216	403	657	319	700	211	221
08/11/11	1786	1126	499	611	283	785	202	196
09/11/11	1628	1211	423	549	301	686	222	173
10/11/11	1482	1014	418	649	231	686	199	154
11/11/11	1496	870	299	567	178	588	169	158
12/11/11	790	383	177	294	90	275	61	51
13/11/11	633	333	136	256	69	224	58	42
14/11/11	1638	925	350	527	205	584	230	151
15/11/11	969	505	202	313	88	309	85	33
16/11/11	1803	1122	435	609	247	645	198	160
17/11/11	1586	1028	497	490	230	628	188	142
18/11/11	1313	844	367	535	190	525	163	111
19/11/11	747	477	212	296	94	266	94	62
20/11/11	627	360	136	258	79	196	52	25
21/11/11	1783	1153	395	688	266	653	193	169
22/11/11	1644	1057	364	545	254	588	172	136
23/11/11	1876	1065	396	573	280	606	206	138
24/11/11	1600	983	374	609	227	578	214	166
25/11/11	1580	896	314	570	178	505	177	115
26/11/11	903	472	174	291	104	281	81	63
27/11/11	705	369	128	197	54	163	46	30
28/11/11	1702	1111	391	654	277	649	197	162
29/11/11	1790	1094	429	652	409	583	255	236
30/11/11	1744	1143	444	551	260	639	234	164
01/12/11	1687	1028	397	524	307	606	153	205
02/12/11	1490	896	356	587	183	527	181	108
03/12/11	912	483	163	294	112	259	100	51
04/12/11	615	292	112	262	63	181	61	30
05/12/11	2019	1251	513	648	320	699	287	260
06/12/11	2046	1218	423	656	235	627	187	135
07/12/11	1787	1128	334	548	233	599	188	189
08/12/11	1487	970	279	553	249	432	162	169
09/12/11	1628	1072	341	612	260	525	169	143
10/12/11	964	548	171	403	110	257	77	54
11/12/11	670	278	107	237	58	168	70	51
12/12/11	1899	1323	384	696	330	605	192	264
13/12/11	1673	1087	357	585	286	603	170	184
14/12/11	1577	1178	349	546	250	535	167	176
15/12/11	1461	1144	382	565	215	677	177	170
16/12/11	1529	1045	384	540	196	448	178	149
17/12/11	748	525	130	289	98	240	50	55
18/12/11	512	350	101	191	56	138	46	41
19/12/11	1740	1128	473	565	264	708	254	230
20/12/11	1432	1010	352	476	231	562	195	121
21/12/11	1393	968	395	536	201	578	152	156
22/12/11	1394	1016	317	512	208	486	140	132
23/12/11	1000	686	177	342	138	325	202	88
24/12/11	349	215	89	127	51	155	24	25
25/12/11	331	234	76	137	37	99	24	12
26/12/11	1849	1048	369	631	294	580	175	210
27/12/11	1684	1046	414	633	233	623	146	193
28/12/11	1466	1054	354	540	304	559	121	130
29/12/11	1387	768	252	456	186	415	117	137
30/12/11	970	558	193	321	104	289	83	63
31/12/11	400	178	83	138	30	162	25	15
01/01/12	357	244	74	153	30	110	34	15
02/01/12	1802	1193	366	635	257	568	198	221
03/01/12	1724	1109	344	686	256	601	173	172
04/01/12	1860	1218	388	640	319	654	149	214
05/01/12	1638	1090	368	832	260	587	172	151
06/01/12	1617	988	312	986	173	605	138	177
07/01/12	795	440	155	472	80	290	50	47
08/01/12	531	325	133	291	65	190	36	25
09/01/12	1907	1449	473	789	260	657	178	203
10/01/12	1645	1207	397	672	265	599	200	156
11/01/12	1728	1227	430	644	205	622	180	202
